Date,Country/Region,Confirmed
2020/07/09,Afghanistan,33739
2020/07/10,Afghanistan,34280
2020/07/11,Afghanistan,34437
2020/07/12,Afghanistan,34537
2020/07/13,Afghanistan,34541
2020/07/14,Afghanistan,34826
2020/07/15,Afghanistan,35026
2020/07/16,Afghanistan,35156
2020/07/17,Afghanistan,35315
2020/07/18,Afghanistan,35375
2020/07/19,Afghanistan,35561
2020/07/20,Afghanistan,35595
2020/07/21,Afghanistan,35701
2020/07/22,Afghanistan,35813
2020/07/23,Afghanistan,36001
2020/07/24,Afghanistan,36067
2020/07/25,Afghanistan,36122
2020/07/26,Afghanistan,36243
2020/07/27,Afghanistan,36349
2020/07/28,Afghanistan,36454
2020/07/29,Afghanistan,36557
2020/07/30,Afghanistan,36628
2020/07/31,Afghanistan,36628
2020/08/01,Afghanistan,36796
2020/08/02,Afghanistan,36796
2020/08/03,Afghanistan,36796
2020/08/04,Afghanistan,36833
2020/08/05,Afghanistan,36915
2020/08/06,Afghanistan,36982
2020/08/07,Afghanistan,37023
2020/08/08,Afghanistan,37101
2020/08/09,Afghanistan,37140
2020/08/10,Afghanistan,37140
2020/08/11,Afghanistan,37355
2020/08/12,Afghanistan,37431
2020/08/13,Afghanistan,37510
2020/08/14,Afghanistan,37517
2020/08/15,Afghanistan,37637
2020/08/16,Afghanistan,37682
2020/08/17,Afghanistan,37682
2020/08/18,Afghanistan,37685
2020/08/19,Afghanistan,37685
2020/08/20,Afghanistan,37845
2020/08/21,Afghanistan,37942
2020/08/22,Afghanistan,37980
2020/08/23,Afghanistan,38039
2020/08/24,Afghanistan,38085
2020/08/25,Afghanistan,38156
2020/08/26,Afghanistan,38199
2020/08/27,Afghanistan,38215
2020/08/28,Afghanistan,38226
2020/08/29,Afghanistan,38229
2020/08/30,Afghanistan,38229
2020/08/31,Afghanistan,38248
2020/09/01,Afghanistan,38282
2020/09/02,Afghanistan,38329
2020/09/03,Afghanistan,38374
2020/09/04,Afghanistan,38374
2020/09/05,Afghanistan,38390
2020/09/06,Afghanistan,38484
2020/09/07,Afghanistan,38580
2020/09/08,Afghanistan,38606
2020/09/09,Afghanistan,38630
2020/09/10,Afghanistan,38658
2020/09/11,Afghanistan,38692
2020/09/12,Afghanistan,38727
2020/09/13,Afghanistan,38802
2020/09/14,Afghanistan,38858
2020/09/15,Afghanistan,38901
2020/09/16,Afghanistan,38941
2020/09/17,Afghanistan,38958
2020/09/18,Afghanistan,38969
2020/09/19,Afghanistan,39005
2020/09/20,Afghanistan,39130
2020/09/21,Afghanistan,39160
2020/09/22,Afghanistan,39182
2020/09/23,Afghanistan,39231
2020/09/24,Afghanistan,39256
2020/09/25,Afghanistan,39272
2020/09/26,Afghanistan,39278
2020/09/27,Afghanistan,39313
2020/09/28,Afghanistan,39325
2020/09/29,Afghanistan,39340
2020/09/30,Afghanistan,39354
2020/10/01,Afghanistan,39371
2020/10/02,Afghanistan,39376
2020/10/03,Afghanistan,39383
2020/10/04,Afghanistan,39427
2020/10/05,Afghanistan,39508
2020/10/06,Afghanistan,39572
2020/10/07,Afghanistan,39634
2020/10/08,Afghanistan,39702
2020/10/09,Afghanistan,39779
2020/10/10,Afghanistan,39789
2020/10/11,Afghanistan,39885
2020/10/12,Afghanistan,39956
2020/10/13,Afghanistan,40014
2020/10/14,Afghanistan,40080
2020/10/15,Afghanistan,40112
2020/10/16,Afghanistan,40159
2020/10/17,Afghanistan,40227
2020/10/18,Afghanistan,40286
2020/10/19,Afghanistan,40373
2020/10/20,Afghanistan,40461
2020/10/21,Afghanistan,40461
2020/10/22,Afghanistan,40510
2020/10/23,Afghanistan,40626
2020/10/24,Afghanistan,40687
2020/10/25,Afghanistan,40768
2020/10/26,Afghanistan,40833
2020/10/27,Afghanistan,40937
2020/10/28,Afghanistan,41032
2020/10/29,Afghanistan,41145
2020/10/30,Afghanistan,41268
2020/10/31,Afghanistan,41334
2020/11/01,Afghanistan,41425
2020/11/02,Afghanistan,41501
2020/11/03,Afghanistan,41633
2020/11/04,Afghanistan,41728
2020/11/05,Afghanistan,41814
2020/11/06,Afghanistan,41935
2020/11/07,Afghanistan,41975
2020/11/08,Afghanistan,42033
2020/11/09,Afghanistan,42159
2020/11/10,Afghanistan,42297
2020/11/11,Afghanistan,42463
2020/11/12,Afghanistan,42609
2020/11/13,Afghanistan,42795
2020/11/14,Afghanistan,42969
2020/11/15,Afghanistan,43035
2020/11/16,Afghanistan,43240
2020/11/17,Afghanistan,43403
2020/11/18,Afghanistan,43628
2020/11/19,Afghanistan,43851
2020/11/20,Afghanistan,44228
2020/11/21,Afghanistan,44443
2020/11/22,Afghanistan,44503
2020/11/23,Afghanistan,44706
2020/11/24,Afghanistan,44988
2020/11/25,Afghanistan,45278
2020/11/26,Afghanistan,45490
2020/11/27,Afghanistan,45716
2020/11/28,Afghanistan,45839
2020/11/29,Afghanistan,45966
2020/11/30,Afghanistan,46215
2020/12/01,Afghanistan,46498
2020/12/02,Afghanistan,46717
2020/12/03,Afghanistan,46980
2020/12/04,Afghanistan,47258
2020/12/05,Afghanistan,47388
2020/12/06,Afghanistan,47641
2020/12/07,Afghanistan,47901
2020/12/08,Afghanistan,48136
2020/12/09,Afghanistan,48366
2020/12/10,Afghanistan,48540
2020/12/11,Afghanistan,48753
2020/12/12,Afghanistan,48826
2020/12/13,Afghanistan,48952
2020/12/14,Afghanistan,49273
2020/12/15,Afghanistan,49484
2020/12/16,Afghanistan,49703
2020/12/17,Afghanistan,49927
2020/12/18,Afghanistan,50202
2020/12/19,Afghanistan,50456
2020/12/20,Afghanistan,50536
2020/12/21,Afghanistan,50678
2020/12/22,Afghanistan,50888
2020/12/23,Afghanistan,51070
2020/12/24,Afghanistan,51357
2020/12/25,Afghanistan,51595
2020/12/26,Afghanistan,51764
2020/12/27,Afghanistan,51848
2020/12/28,Afghanistan,52007
2020/12/29,Afghanistan,52147
2020/12/30,Afghanistan,52330
2020/12/31,Afghanistan,52330
2021/01/01,Afghanistan,52513
2021/01/02,Afghanistan,52586
2021/01/03,Afghanistan,52709
2021/01/04,Afghanistan,52909
2021/01/05,Afghanistan,53011
2021/01/06,Afghanistan,53105
2021/01/07,Afghanistan,53207
2021/01/08,Afghanistan,53332
2021/01/09,Afghanistan,53400
2021/01/10,Afghanistan,53489
2021/01/11,Afghanistan,53538
2021/01/12,Afghanistan,53584
2021/01/13,Afghanistan,53690
2021/01/14,Afghanistan,53775
2021/01/15,Afghanistan,53831
2021/01/16,Afghanistan,53938
2021/01/17,Afghanistan,53984
2021/01/18,Afghanistan,54062
2021/01/19,Afghanistan,54141
2021/01/20,Afghanistan,54278
2021/01/21,Afghanistan,54403
2021/01/22,Afghanistan,54483
2021/01/23,Afghanistan,54559
2021/01/24,Afghanistan,54595
2021/01/25,Afghanistan,54672
2021/01/26,Afghanistan,54750
2021/01/27,Afghanistan,54854
2021/01/28,Afghanistan,54891
2021/01/29,Afghanistan,54939
2021/01/30,Afghanistan,55008
2021/01/31,Afghanistan,55023
2021/02/01,Afghanistan,55059
2021/02/02,Afghanistan,55121
2021/02/03,Afghanistan,55174
2021/02/04,Afghanistan,55231
2021/02/05,Afghanistan,55265
2021/02/06,Afghanistan,55330
2021/02/07,Afghanistan,55335
2021/02/08,Afghanistan,55359
2021/02/09,Afghanistan,55384
2021/02/10,Afghanistan,55402
2021/02/11,Afghanistan,55420
2021/02/12,Afghanistan,55445
2021/02/13,Afghanistan,55473
2021/02/14,Afghanistan,55492
2021/02/15,Afghanistan,55514
2021/02/16,Afghanistan,55518
2021/02/17,Afghanistan,55540
2021/02/18,Afghanistan,55557
2021/02/19,Afghanistan,55575
2021/02/20,Afghanistan,55580
2021/02/21,Afghanistan,55604
2021/02/22,Afghanistan,55617
2021/02/23,Afghanistan,55646
2021/02/24,Afghanistan,55664
2021/02/25,Afghanistan,55680
2021/02/26,Afghanistan,55696
2021/02/27,Afghanistan,55707
2021/02/28,Afghanistan,55714
2021/03/01,Afghanistan,55733
2021/03/02,Afghanistan,55759
2021/03/03,Afghanistan,55770
2021/03/04,Afghanistan,55775
2021/03/05,Afghanistan,55827
2021/03/06,Afghanistan,55840
2021/03/07,Afghanistan,55847
2021/03/08,Afghanistan,55876
2021/03/09,Afghanistan,55876
2021/03/10,Afghanistan,55894
2021/03/11,Afghanistan,55917
2021/03/12,Afghanistan,55959
2021/03/13,Afghanistan,55959
2021/03/14,Afghanistan,55985
2021/03/15,Afghanistan,55985
2021/03/16,Afghanistan,55995
2021/03/17,Afghanistan,56016
2021/03/18,Afghanistan,56044
2021/03/19,Afghanistan,56069
2021/03/20,Afghanistan,56093
2021/03/21,Afghanistan,56103
2021/03/22,Afghanistan,56153
2021/03/23,Afghanistan,56177
2021/03/24,Afghanistan,56192
2021/03/25,Afghanistan,56226
2021/03/26,Afghanistan,56254
2021/03/27,Afghanistan,56290
2021/03/28,Afghanistan,56294
2021/03/29,Afghanistan,56322
2021/03/30,Afghanistan,56384
2021/03/31,Afghanistan,56454
2021/04/01,Afghanistan,56517
2021/04/02,Afghanistan,56572
2021/04/03,Afghanistan,56595
2021/04/04,Afghanistan,56676
2021/04/05,Afghanistan,56717
2021/04/06,Afghanistan,56779
2021/04/07,Afghanistan,56873
2021/04/08,Afghanistan,56943
2021/04/09,Afghanistan,57019
2021/04/10,Afghanistan,57144
2021/04/11,Afghanistan,57160
2021/04/12,Afghanistan,57242
2021/04/13,Afghanistan,57364
2021/04/14,Afghanistan,57492
2021/04/15,Afghanistan,57534
2021/04/16,Afghanistan,57612
2021/04/17,Afghanistan,57721
2021/04/18,Afghanistan,57793
2021/04/19,Afghanistan,57898
2021/04/20,Afghanistan,58037
2021/04/21,Afghanistan,58214
2021/04/22,Afghanistan,58312
2021/04/23,Afghanistan,58542
2021/04/24,Afghanistan,58730
2021/04/25,Afghanistan,58843
2021/04/26,Afghanistan,59015
2021/04/27,Afghanistan,59225
2021/04/28,Afghanistan,59370
2021/04/29,Afghanistan,59576
2021/04/30,Afghanistan,59745
2021/05/01,Afghanistan,59939
2021/05/02,Afghanistan,60122
2021/05/03,Afghanistan,60300
2021/05/04,Afghanistan,60563
2021/05/05,Afghanistan,60797
2021/05/06,Afghanistan,61162
2021/05/07,Afghanistan,61455
2021/05/08,Afghanistan,61755
2021/05/09,Afghanistan,61842
2021/05/10,Afghanistan,62063
2021/05/11,Afghanistan,62403
2021/05/12,Afghanistan,62718
2021/05/13,Afghanistan,63045
2021/05/14,Afghanistan,63355
2021/05/15,Afghanistan,63412
2021/05/16,Afghanistan,63484
2021/05/17,Afghanistan,63598
2021/05/18,Afghanistan,63819
2021/05/19,Afghanistan,64122
2021/05/20,Afghanistan,64575
2021/05/21,Afghanistan,65080
2021/05/22,Afghanistan,65486
2021/05/23,Afghanistan,65728
2021/05/24,Afghanistan,66275
2021/05/25,Afghanistan,66903
2021/05/26,Afghanistan,67743
2021/05/27,Afghanistan,68366
2021/05/28,Afghanistan,69130
2021/05/29,Afghanistan,70111
2021/05/30,Afghanistan,70761
2021/05/31,Afghanistan,71838
2021/06/01,Afghanistan,72977
2021/06/02,Afghanistan,74026
2021/06/03,Afghanistan,75119
2021/06/04,Afghanistan,76628
2021/06/05,Afghanistan,77963
